time,symbol,score,signal,close_price
2026-02-21 08:00:00,ETH,69.8,多,1963.22
2026-02-21 08:00:00,SOL,79.1,多,84.43
2026-02-21 12:00:00,BTC,59.6,多,67816.97
2026-02-21 12:00:00,ETH,88.7,多,1962.4
2026-02-21 12:00:00,SOL,83.5,多,84.4
2026-02-21 16:00:00,BTC,73.9,多,68055.03
2026-02-21 16:00:00,ETH,89.4,多,1969.0
2026-02-21 16:00:00,SOL,92.4,多,84.73
2026-02-21 20:00:00,BTC,68.1,多,68203.42
2026-02-21 20:00:00,ETH,70.0,多,1975.99
2026-02-21 20:00:00,SOL,90.6,多,85.32
2026-02-22 00:00:00,BTC,64.4,多,68322.6
2026-02-22 00:00:00,ETH,63.1,多,1986.33
2026-02-22 00:00:00,SOL,93.3,多,86.13
2026-02-22 04:00:00,BTC,54.8,中性,68211.19
2026-02-22 04:00:00,ETH,50.6,中性,1974.14
2026-02-22 04:00:00,SOL,72.6,多,85.48
2026-02-22 08:00:00,BTC,59.4,多,67946.0
2026-02-22 08:00:00,ETH,66.3,多,1972.87
2026-02-22 08:00:00,SOL,68.5,多,85.08
2026-02-22 12:00:00,BTC,68.0,多,67983.5
2026-02-22 12:00:00,ETH,63.3,多,1973.62
2026-02-22 12:00:00,SOL,84.1,多,85.17
2026-02-22 16:00:00,BTC,46.7,中性,67950.1
2026-02-22 16:00:00,ETH,45.4,中性,1973.39
2026-02-22 16:00:00,SOL,51.1,中性,84.97
2026-02-22 20:00:00,BTC,35.6,空,67928.22
2026-02-22 20:00:00,ETH,28.3,空,1966.37
2026-02-22 20:00:00,SOL,16.3,空,84.47
2026-02-23 00:00:00,BTC,2.4,空,67632.76
2026-02-23 00:00:00,ETH,5.4,空,1952.53
2026-02-23 00:00:00,SOL,6.7,空,83.58
2026-02-23 04:00:00,BTC,3.1,空,67401.74
2026-02-23 04:00:00,ETH,4.8,空,1940.99
2026-02-23 04:00:00,SOL,8.7,空,83.03
2026-02-23 08:00:00,BTC,18.0,空,66740.47
2026-02-23 08:00:00,ETH,26.3,空,1929.42
2026-02-23 08:00:00,SOL,6.7,空,81.37
2026-02-23 12:00:00,BTC,5.6,空,64808.31
2026-02-23 12:00:00,ETH,4.1,空,1860.17
2026-02-23 12:00:00,SOL,2.8,空,77.39
2026-02-23 16:00:00,BTC,15.2,空,65676.44
2026-02-23 16:00:00,ETH,14.3,空,1880.62
2026-02-23 16:00:00,SOL,29.1,空,78.78
2026-02-23 20:00:00,BTC,42.0,空,66280.4
2026-02-23 20:00:00,ETH,39.8,空,1919.99
2026-02-23 20:00:00,SOL,37.6,空,80.71
2026-02-24 00:00:00,BTC,9.4,空,65364.65
2026-02-24 00:00:00,ETH,7.4,空,1884.72
2026-02-24 00:00:00,SOL,9.8,空,78.97
2026-02-24 04:00:00,BTC,8.3,空,64473.14
2026-02-24 04:00:00,ETH,15.4,空,1860.56
2026-02-24 04:00:00,SOL,27.6,空,78.31
2026-02-24 08:00:00,BTC,32.4,空,64941.43
2026-02-24 08:00:00,ETH,18.1,空,1867.96
2026-02-24 08:00:00,SOL,15.7,空,78.46
2026-02-24 12:00:00,BTC,16.7,空,63378.84
2026-02-24 12:00:00,ETH,26.9,空,1830.81
2026-02-24 12:00:00,SOL,40.0,空,76.86
2026-02-24 16:00:00,BTC,13.3,空,63392.15
2026-02-24 16:00:00,ETH,27.0,空,1831.57
2026-02-24 16:00:00,SOL,36.5,空,77.03
2026-02-24 20:00:00,BTC,10.2,空,62969.05
2026-02-24 20:00:00,ETH,17.8,空,1823.92
2026-02-24 20:00:00,SOL,23.9,空,76.59
2026-02-25 00:00:00,BTC,43.7,空,64265.52
2026-02-25 00:00:00,ETH,33.9,空,1858.56
2026-02-25 00:00:00,SOL,33.1,空,78.13
2026-02-25 04:00:00,BTC,51.9,中性,64472.9
2026-02-25 04:00:00,ETH,45.7,中性,1858.58
2026-02-25 04:00:00,SOL,54.6,中性,78.67
2026-02-25 08:00:00,BTC,3.1,空,64224.3
2026-02-25 08:00:00,ETH,18.7,空,1851.98
2026-02-25 08:00:00,SOL,48.5,中性,79.21
2026-02-25 12:00:00,BTC,83.1,多,65457.99
2026-02-25 12:00:00,ETH,91.5,多,1906.3
2026-02-25 12:00:00,SOL,91.9,多,81.96
2026-02-25 16:00:00,BTC,77.8,多,65530.49
2026-02-25 16:00:00,ETH,79.4,多,1910.29
2026-02-25 16:00:00,SOL,79.4,多,82.48
2026-02-25 20:00:00,BTC,81.1,多,66068.94
2026-02-25 20:00:00,ETH,95.0,多,1953.43
2026-02-25 20:00:00,SOL,83.0,多,83.68
2026-02-26 00:00:00,BTC,93.1,多,68297.35
2026-02-26 00:00:00,ETH,96.1,多,2046.33
2026-02-26 00:00:00,SOL,90.7,多,87.55
2026-02-26 04:00:00,BTC,86.9,多,69148.69
2026-02-26 04:00:00,ETH,83.1,多,2075.0
2026-02-26 04:00:00,SOL,85.9,多,89.39
2026-02-26 08:00:00,BTC,77.2,多,68335.99
2026-02-26 08:00:00,ETH,85.9,多,2062.36
2026-02-26 08:00:00,SOL,76.3,多,88.58
2026-02-26 12:00:00,BTC,79.6,多,68571.36
2026-02-26 12:00:00,ETH,82.8,多,2075.01
2026-02-26 12:00:00,SOL,72.2,多,88.74
2026-02-26 16:00:00,BTC,76.1,多,67954.01
2026-02-26 16:00:00,ETH,75.2,多,2054.43
2026-02-26 16:00:00,SOL,65.2,多,87.31
2026-02-26 20:00:00,BTC,78.7,多,68171.56
2026-02-26 20:00:00,ETH,84.4,多,2070.0
2026-02-26 20:00:00,SOL,74.1,多,87.7
2026-02-27 00:00:00,BTC,17.2,空,66643.55
2026-02-27 00:00:00,ETH,0.7,空,1983.8
2026-02-27 00:00:00,SOL,5.0,空,84.58
2026-02-27 04:00:00,BTC,43.9,空,67414.07
2026-02-27 04:00:00,ETH,34.1,空,2023.67
