time,symbol,score,signal,position,action,close_price
2025-10-10 12:00:00,SOL,26.4,空,flat,reduce_short,221.22
2025-10-10 16:00:00,BTC,56.8,多,long,open_long,121631.54
2025-10-10 16:00:00,ETH,26.6,空,short,open_short,4346.12
2025-10-10 16:00:00,SOL,34.4,空,short,open_short,220.06
2025-10-10 20:00:00,BTC,8.4,空,flat,reduce_long,121597.21
2025-10-10 20:00:00,ETH,4.0,空,short,hold,4348.54
2025-10-10 20:00:00,SOL,21.0,空,short,hold,221.76
2025-10-11 00:00:00,BTC,6.3,空,short,open_short,118205.61
2025-10-11 00:00:00,ETH,3.3,空,short,hold,4108.99
2025-10-11 00:00:00,SOL,3.6,空,short,hold,211.26
2025-10-11 04:00:00,BTC,2.7,空,short,hold,114266.82
2025-10-11 04:00:00,ETH,2.2,空,short,hold,3871.3
2025-10-11 04:00:00,SOL,0.0,空,short,hold,196.84
2025-10-11 08:00:00,BTC,2.9,空,flat,reduce_short,112514.58
2025-10-11 08:00:00,ETH,7.6,空,flat,reduce_short,3838.48
2025-10-11 08:00:00,SOL,0.3,空,flat,reduce_short,188.05
2025-10-11 12:00:00,BTC,4.8,空,short,open_short,112945.79
2025-10-11 12:00:00,ETH,4.8,空,short,open_short,3820.54
2025-10-11 12:00:00,SOL,3.4,空,short,open_short,186.13
2025-10-11 16:00:00,BTC,2.9,空,short,hold,111328.38
2025-10-11 16:00:00,ETH,12.2,空,flat,reduce_short,3815.36
2025-10-11 16:00:00,SOL,24.6,空,flat,reduce_short,186.56
2025-10-11 20:00:00,BTC,7.0,空,flat,reduce_short,112380.14
2025-10-11 20:00:00,ETH,5.9,空,short,open_short,3823.52
2025-10-11 20:00:00,SOL,0.9,空,short,open_short,183.12
2025-10-12 00:00:00,BTC,11.2,空,short,open_short,111846.18
2025-10-12 00:00:00,ETH,17.9,空,flat,reduce_short,3820.07
2025-10-12 00:00:00,SOL,27.3,空,flat,reduce_short,182.66
2025-10-12 04:00:00,BTC,11.0,空,short,hold,110244.98
2025-10-12 04:00:00,ETH,13.0,空,short,open_short,3695.15
2025-10-12 04:00:00,SOL,13.2,空,short,open_short,175.55
2025-10-12 08:00:00,BTC,21.4,空,flat,reduce_short,109641.54
2025-10-12 08:00:00,ETH,21.6,空,flat,reduce_short,3701.01
2025-10-12 08:00:00,SOL,19.5,空,flat,reduce_short,173.3
2025-10-12 12:00:00,BTC,86.6,多,long,open_long,111524.87
2025-10-12 12:00:00,ETH,60.3,多,long,open_long,3801.9
2025-10-12 12:00:00,SOL,42.9,空,short,open_short,180.11
2025-10-12 16:00:00,BTC,57.0,多,flat,reduce_long,111310.9
2025-10-12 16:00:00,ETH,61.9,多,long,hold,3823.17
2025-10-12 16:00:00,SOL,48.4,中性,flat,reduce_short,181.82
2025-10-12 20:00:00,BTC,85.1,多,long,open_long,111789.6
2025-10-12 20:00:00,ETH,64.1,多,long,hold,3832.1
2025-10-12 20:00:00,SOL,56.4,多,long,open_long,181.7
2025-10-13 00:00:00,BTC,100.0,多,long,hold,114069.35
2025-10-13 00:00:00,ETH,100.0,多,long,hold,4106.27
2025-10-13 00:00:00,SOL,100.0,多,long,hold,193.81
2025-10-13 04:00:00,BTC,99.1,多,flat,reduce_long,114927.97
2025-10-13 04:00:00,ETH,92.1,多,flat,reduce_long,4136.24
2025-10-13 04:00:00,SOL,85.8,多,flat,reduce_long,196.8
2025-10-13 08:00:00,BTC,98.6,多,long,open_long,115280.84
2025-10-13 08:00:00,ETH,90.4,多,long,open_long,4139.8
2025-10-13 08:00:00,SOL,79.3,多,long,open_long,197.22
2025-10-13 12:00:00,BTC,75.3,多,flat,reduce_long,114708.15
