time,symbol,score,signal,close_price
2025-04-25 08:00:00,ETH,42.7,空,1774.15
2025-04-25 08:00:00,SOL,47.8,中性,152.22
2025-04-25 12:00:00,BTC,47.5,中性,93058.58
2025-04-25 12:00:00,ETH,48.6,中性,1766.0
2025-04-25 12:00:00,SOL,51.3,中性,150.89
2025-04-25 16:00:00,BTC,41.4,空,93680.01
2025-04-25 16:00:00,ETH,40.8,空,1775.19
2025-04-25 16:00:00,SOL,53.1,中性,154.34
2025-04-25 20:00:00,BTC,41.5,空,94417.29
2025-04-25 20:00:00,ETH,34.3,空,1773.1
2025-04-25 20:00:00,SOL,39.8,空,153.57
2025-04-26 00:00:00,BTC,41.6,空,95223.81
2025-04-26 00:00:00,ETH,45.1,中性,1801.75
2025-04-26 00:00:00,SOL,31.5,空,152.51
2025-04-26 04:00:00,BTC,41.1,空,94869.57
2025-04-26 04:00:00,ETH,41.9,空,1798.33
2025-04-26 04:00:00,SOL,36.8,空,151.77
2025-04-26 08:00:00,BTC,47.2,中性,94880.69
2025-04-26 08:00:00,ETH,46.7,中性,1796.42
2025-04-26 08:00:00,SOL,41.5,空,151.47
2025-04-26 12:00:00,BTC,41.0,空,94536.99
2025-04-26 12:00:00,ETH,41.5,空,1791.84
2025-04-26 12:00:00,SOL,35.2,空,150.47
2025-04-26 16:00:00,BTC,43.8,空,94318.04
2025-04-26 16:00:00,ETH,51.9,中性,1806.35
2025-04-26 16:00:00,SOL,40.8,空,150.77
2025-04-26 20:00:00,BTC,49.7,中性,94245.9
2025-04-26 20:00:00,ETH,50.6,中性,1791.7
2025-04-26 20:00:00,SOL,34.5,空,148.3
2025-04-27 00:00:00,BTC,53.7,中性,94286.92
2025-04-27 00:00:00,ETH,57.7,多,1802.94
2025-04-27 00:00:00,SOL,52.9,中性,149.05
2025-04-27 04:00:00,BTC,53.8,中性,94087.0
2025-04-27 04:00:00,ETH,57.1,多,1805.7
2025-04-27 04:00:00,SOL,49.5,中性,148.35
2025-04-27 08:00:00,BTC,49.4,中性,94870.01
2025-04-27 08:00:00,ETH,59.1,多,1842.03
2025-04-27 08:00:00,SOL,45.5,中性,149.67
2025-04-27 12:00:00,BTC,53.9,中性,94014.17
2025-04-27 12:00:00,ETH,48.3,中性,1798.2
2025-04-27 12:00:00,SOL,44.7,空,146.45
2025-04-27 16:00:00,BTC,49.6,中性,94202.51
2025-04-27 16:00:00,ETH,52.1,中性,1810.09
2025-04-27 16:00:00,SOL,50.5,中性,148.36
2025-04-27 20:00:00,BTC,54.2,中性,93734.86
2025-04-27 20:00:00,ETH,53.8,中性,1796.19
2025-04-27 20:00:00,SOL,55.0,多,147.83
2025-04-28 00:00:00,BTC,50.6,中性,93881.82
2025-04-28 00:00:00,ETH,49.6,中性,1795.29
2025-04-28 00:00:00,SOL,52.3,中性,148.57
2025-04-28 04:00:00,BTC,48.5,中性,94260.86
2025-04-28 04:00:00,ETH,48.0,中性,1802.5
2025-04-28 04:00:00,SOL,47.3,中性,148.75
2025-04-28 08:00:00,BTC,56.5,多,93419.9
2025-04-28 08:00:00,ETH,49.1,中性,1773.59
2025-04-28 08:00:00,SOL,55.3,多,147.04
2025-04-28 12:00:00,BTC,49.1,中性,94036.48
2025-04-28 12:00:00,ETH,49.0,中性,1787.76
2025-04-28 12:00:00,SOL,55.5,多,148.72
2025-04-28 16:00:00,BTC,43.9,空,94706.39
2025-04-28 16:00:00,ETH,45.6,中性,1809.39
2025-04-28 16:00:00,SOL,52.8,中性,151.49
2025-04-28 20:00:00,BTC,41.4,空,95350.69
2025-04-28 20:00:00,ETH,34.3,空,1806.87
2025-04-28 20:00:00,SOL,35.8,空,150.63
2025-04-29 00:00:00,BTC,48.9,中性,93734.04
2025-04-29 00:00:00,ETH,40.3,空,1757.99
2025-04-29 00:00:00,SOL,39.1,空,146.17
2025-04-29 04:00:00,BTC,48.6,中性,94469.67
2025-04-29 04:00:00,ETH,50.8,中性,1785.83
2025-04-29 04:00:00,SOL,43.2,空,147.01
2025-04-29 08:00:00,BTC,41.4,空,95065.27
2025-04-29 08:00:00,ETH,42.7,空,1802.08
2025-04-29 08:00:00,SOL,39.1,空,148.19
2025-04-29 12:00:00,BTC,47.5,中性,94353.32
2025-04-29 12:00:00,ETH,48.4,中性,1792.38
2025-04-29 12:00:00,SOL,40.8,空,146.35
2025-04-29 16:00:00,BTC,48.0,中性,95030.0
2025-04-29 16:00:00,ETH,58.7,多,1832.5
2025-04-29 16:00:00,SOL,49.5,中性,149.33
2025-04-29 20:00:00,BTC,54.2,中性,94813.14
2025-04-29 20:00:00,ETH,54.4,中性,1821.8
2025-04-29 20:00:00,SOL,47.2,中性,147.8
2025-04-30 00:00:00,BTC,47.2,中性,94954.74
2025-04-30 00:00:00,ETH,49.3,中性,1816.23
2025-04-30 00:00:00,SOL,48.3,中性,148.39
2025-04-30 04:00:00,BTC,47.7,中性,94839.32
2025-04-30 04:00:00,ETH,50.0,中性,1808.68
2025-04-30 04:00:00,SOL,52.4,中性,148.57
2025-04-30 08:00:00,BTC,54.1,中性,94546.79
2025-04-30 08:00:00,ETH,55.8,多,1805.61
2025-04-30 08:00:00,SOL,49.3,中性,146.72
2025-04-30 12:00:00,BTC,44.2,空,95054.75
2025-04-30 12:00:00,ETH,46.4,中性,1811.91
2025-04-30 12:00:00,SOL,44.4,空,147.53
2025-04-30 16:00:00,BTC,50.0,中性,94718.18
2025-04-30 16:00:00,ETH,43.7,空,1795.24
2025-04-30 16:00:00,SOL,45.5,中性,146.74
2025-04-30 20:00:00,BTC,49.9,中性,94555.88
2025-04-30 20:00:00,ETH,41.8,空,1775.46
2025-04-30 20:00:00,SOL,40.8,空,144.82
2025-05-01 00:00:00,BTC,50.7,中性,93939.98
2025-05-01 00:00:00,ETH,51.5,中性,1767.99
2025-05-01 00:00:00,SOL,43.8,空,143.06
2025-05-01 04:00:00,BTC,50.2,中性,94555.99
2025-05-01 04:00:00,ETH,53.3,中性,1794.01
2025-05-01 04:00:00,SOL,56.1,多,147.01
2025-05-01 08:00:00,BTC,49.4,中性,94405.47
2025-05-01 08:00:00,ETH,50.7,中性,1797.75
2025-05-01 08:00:00,SOL,54.4,中性,147.97
2025-05-01 12:00:00,BTC,50.0,中性,94860.51
2025-05-01 12:00:00,ETH,50.6,中性,1809.0
